No,Area Cell,Area Reality,Scoring,Storage,Scoring,Perimeter,Peri-Efficiency,Scoring,Total Score
159,37,11.19,9.94,6,3.51,26,0.0547,9.85,23.30
160,42,12.71,9.71,4,2.64,26,0.0621,11.18,23.53
161,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
162,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
163,35,10.59,9.99,3,2.16,24,0.0608,10.94,23.08
164,32,9.68,10.00,2,1.62,24,0.0556,10.00,21.62
165,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
166,48,14.52,9.18,4,2.64,28,0.0612,11.02,22.84
167,49,14.82,9.07,5,3.09,28,0.0625,11.25,23.40
168,30,9.08,9.97,2,1.62,22,0.0620,11.16,22.75
169,48,14.52,9.18,8,4.29,28,0.0612,11.02,24.49
170,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
171,48,14.52,9.18,3,2.16,28,0.0612,11.02,22.36
172,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
173,43,13.01,9.64,9,4.66,28,0.0548,9.87,24.17
174,32,9.68,10.00,2,1.62,24,0.0556,10.00,21.62
175,36,10.89,9.97,1,1.00,24,0.0625,11.25,22.22
176,48,14.52,9.18,6,3.51,28,0.0612,11.02,23.71
177,49,14.82,9.07,3,2.16,28,0.0625,11.25,22.48
178,37,11.19,9.94,3,2.16,26,0.0547,9.85,21.95
179,35,10.59,9.99,4,2.64,24,0.0608,10.94,23.56
180,36,10.89,9.97,3,2.16,26,0.0533,9.59,21.71
181,49,14.82,9.07,9,4.66,28,0.0625,11.25,24.98
182,46,13.92,9.39,6,3.51,28,0.0587,10.56,23.45
183,42,12.71,9.71,6,3.51,26,0.0621,11.18,24.40
184,43,13.01,9.64,6,3.51,28,0.0548,9.87,23.02
185,36,10.89,9.97,6,3.51,24,0.0625,11.25,24.72
186,42,12.71,9.71,3,2.16,26,0.0621,11.18,23.05
187,43,13.01,9.64,6,3.51,28,0.0548,9.87,23.02
188,30,9.08,9.97,2,1.62,22,0.0620,11.16,22.75
189,34,10.29,10.00,5,3.09,26,0.0503,9.05,22.14
190,39,11.80,9.87,3,2.16,26,0.0577,10.38,22.41
191,34,10.29,10.00,4,2.64,26,0.0503,9.05,21.69
192,36,10.89,9.97,5,3.09,24,0.0625,11.25,24.30
193,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
194,38,11.50,9.91,6,3.51,26,0.0562,10.12,23.53
195,39,11.80,9.87,8,4.29,28,0.0497,8.95,23.11
196,41,12.40,9.77,6,3.51,26,0.0607,10.92,24.19
197,36,10.89,9.97,4,2.64,24,0.0625,11.25,23.86
198,40,12.10,9.82,5,3.09,26,0.0592,10.65,23.56
199,42,12.71,9.71,2,1.62,26,0.0621,11.18,22.52
200,36,10.89,9.97,2,1.62,24,0.0625,11.25,22.84
